id,rank_idx,title,rating,rating_count,quote,link,director,year,created_at
112,112,爱在日落黄昏时,8.9,651205,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/,理查德·林克莱特 Richard Linklater,2004,2026-03-09 17:54:01
113,113,被嫌弃的松子的一生,8.8,773558,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/,中岛哲也 Tetsuya Nakashima,2006,2026-03-09 17:54:01
114,114,哈利·波特与火焰杯,8.8,798804,,https://movie.douban.com/subject/1309055/,迈克·内威尔 Mike Newell,2005,2026-03-09 17:54:01
115,115,头脑特工队,8.8,802662,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb,2015,2026-03-09 17:54:01
116,116,未麻的部屋,9.1,423575,,https://movie.douban.com/subject/1395091/,今敏 Satoshi Kon,1997,2026-03-09 17:54:01
117,117,重庆森林,8.8,920545,,https://movie.douban.com/subject/1291999/,王家卫 Kar Wai Wong,1994,2026-03-09 17:54:01
118,118,借东西的小人阿莉埃蒂,8.9,626249,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/,米林宏昌 Hiromasa Yonebayashi,2010,2026-03-09 17:54:01
119,119,入殓师,8.9,741749,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/,泷田洋二郎 Yôjirô Takita,2008,2026-03-09 17:54:01
120,120,菊次郎的夏天,8.9,672060,,https://movie.douban.com/subject/1293359/,北野武 Takeshi Kitano,1999,2026-03-09 17:54:01
121,121,断背山,8.8,781065,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/,李安 Ang Lee,2005,2026-03-09 17:54:01
122,122,剪刀手爱德华,8.7,1118778,,https://movie.douban.com/subject/1292370/,蒂姆·波顿 Tim Burton,1990,2026-03-09 17:54:01
123,123,勇敢的心,8.9,604658,,https://movie.douban.com/subject/1294639/,梅尔·吉布森 Mel Gibson,1995,2026-03-09 17:54:01
124,124,时空恋旅人,8.8,790212,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/,理查德·柯蒂斯 Richard Curtis,2013,2026-03-09 17:54:01
125,125,驯龙高手,8.8,862845,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,2026-03-09 17:54:01
126,126,消失的爱人,8.7,1070695,年度最佳date movie。,https://movie.douban.com/subject/21318488/,大卫·芬奇 David Fincher,2014,2026-03-09 17:54:01
127,127,无人知晓,9.1,371374,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/,是枝裕和 Hirokazu Koreeda,2004,2026-03-09 17:54:01
128,128,倩女幽魂,8.8,834234,,https://movie.douban.com/subject/1297447/,程小东 Siu-Tung Ching,1987,2026-03-09 17:54:01
129,129,傲慢与偏见,8.7,930470,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/,乔·怀特 Joe Wright,2005,2026-03-09 17:54:01
130,130,花样年华,8.8,802605,,https://movie.douban.com/subject/1291557/,王家卫 Kar Wai Wong,2000,2026-03-09 17:54:01
131,131,新世界,8.9,525834,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/,朴勋政 Hoon-jung Park,2013,2026-03-09 17:54:01
132,132,玩具总动员3,8.9,591166,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/,李·昂克里奇 Lee Unkrich,2010,2026-03-09 17:54:01
133,133,完美的世界,9.1,359467,,https://movie.douban.com/subject/1300992/,克林特·伊斯特伍德 Clint Eastwood,1993,2026-03-09 17:54:01
134,134,一个叫欧维的男人决定去死,8.9,567360,惠及一生的美丽。,https://movie.douban.com/subject/26628357/,汉内斯·赫尔姆 Hannes Holm,2015,2026-03-09 17:54:01
135,135,色，戒,8.7,958526,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/,李安 Ang Lee,2007,2026-03-09 17:54:01
136,136,阳光灿烂的日子,8.8,694427,,https://movie.douban.com/subject/1291875/,姜文 Wen Jiang,1994,2026-03-09 17:54:01
137,137,怪兽电力公司,8.8,768719,,https://movie.douban.com/subject/1291579/,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,2026-03-09 17:54:01
138,138,小森林 夏秋篇,9.0,472560,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/,森淳一 Junichi Mori,2014,2026-03-09 17:54:01
139,139,天使爱美丽,8.7,1019819,,https://movie.douban.com/subject/1292215/,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,2026-03-09 17:54:01
140,140,教父3,9.0,431235,,https://movie.douban.com/subject/1294240/,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,2026-03-09 17:54:01
141,141,侧耳倾听,8.9,519663,,https://movie.douban.com/subject/1297052/,近藤喜文 Yoshifumi Kondo,1995,2026-03-09 17:54:01
142,142,哪吒闹海,9.2,307617,,https://movie.douban.com/subject/1307315/,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,2026-03-09 17:54:01
143,143,九品芝麻官,8.8,792242,,https://movie.douban.com/subject/1297518/,王晶 Jing Wong,1994,2026-03-09 17:54:01
144,144,请以你的名字呼唤我,8.8,822305,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/,卢卡·瓜达尼诺 Luca Guadagnino,2017,2026-03-09 17:54:01
145,145,被解救的姜戈,8.8,690605,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/,昆汀·塔伦蒂诺 Quentin Tarantino,2012,2026-03-09 17:54:01
146,146,幸福终点站,8.8,640782,有时候幸福需要等一等。,https://movie.douban.com/subject/1292274/,史蒂文·斯皮尔伯格 Steven Spielberg,2004,2026-03-09 17:54:01
147,147,釜山行,8.6,1347633,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/,延尚昊 Sang-ho Yeon,2016,2026-03-09 17:54:01
148,148,神偷奶爸,8.7,1045014,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,2026-03-09 17:54:01
149,149,小森林 冬春篇,9.0,419918,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/,森淳一 Junichi Mori,2015,2026-03-09 17:54:01
150,150,喜宴,9.0,430496,,https://movie.douban.com/subject/1303037/,李安 Ang Lee,1993,2026-03-09 17:54:01
151,151,萤火之森,8.8,609703,触不到的恋人。,https://movie.douban.com/subject/5989818/,大森贵弘 Takahiro Omori,2011,2026-03-09 17:54:01
152,152,告白,8.8,742652,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/,中岛哲也 Tetsuya Nakashima,2010,2026-03-09 17:54:01
153,153,玛丽和麦克斯,9.0,469899,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/,亚当·艾略特 Adam Elliot,2009,2026-03-09 17:54:01
154,154,七武士,9.3,234985,,https://movie.douban.com/subject/1295399/,黑泽明 Akira Kurosawa,1954,2026-03-09 17:54:01
155,155,头号玩家,8.6,1514499,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/,史蒂文·斯皮尔伯格 Steven Spielberg,2018,2026-03-09 17:54:01
156,156,模仿游戏,8.8,719043,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/,莫滕·泰杜姆 Morten Tyldum,2014,2026-03-09 17:54:01
157,157,惊魂记,9.0,355559,,https://movie.douban.com/subject/1293181/,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,2026-03-09 17:54:01
158,158,大鱼,8.8,626168,,https://movie.douban.com/subject/1291545/,蒂姆·波顿 Tim Burton,2003,2026-03-09 17:54:01
159,159,心灵奇旅,8.7,1140270,,https://movie.douban.com/subject/24733428/,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,2026-03-09 17:54:01
160,160,射雕英雄传之东成西就,8.7,717121,,https://movie.douban.com/subject/1316510/,刘镇伟 Jeffrey Lau,1993,2026-03-09 17:54:01
161,161,血战钢锯岭,8.7,858627,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/,梅尔·吉布森 Mel Gibson,2016,2026-03-09 17:54:01
162,162,背靠背，脸对脸,9.5,179250,,https://movie.douban.com/subject/1307856/,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,2026-03-09 17:54:01
163,163,你的名字。,8.5,1590524,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/,新海诚 Makoto Shinkai,2016,2026-03-09 17:54:01
164,164,机器人之梦,9.1,434099,,https://movie.douban.com/subject/35426925/,巴勃罗·贝格尔 Pablo Berger,2023,2026-03-09 17:54:01
165,165,我是山姆,9.0,376030,,https://movie.douban.com/subject/1306861/,杰茜·尼尔森 Jessie Nelson,2001,2026-03-09 17:54:01
166,166,阳光姐妹淘,8.8,637908,再多各自牛逼的时光，也比不上一起傻逼的岁月。,https://movie.douban.com/subject/4917726/,姜炯哲 Hyeong-Cheol Kang,2011,2026-03-09 17:54:01
167,167,恐怖直播,8.7,727433,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/,金秉祐 Byeong-woo Kim,2013,2026-03-09 17:54:01
168,168,黑客帝国3：矩阵革命,8.8,496786,,https://movie.douban.com/subject/1302467/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,2026-03-09 17:54:01
169,169,小丑,8.7,1124366,,https://movie.douban.com/subject/27119724/,托德·菲利普斯 Todd Phillips,2019,2026-03-09 17:54:01
170,170,三块广告牌,8.7,918876,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/,马丁·麦克唐纳 Martin McDonagh,2017,2026-03-09 17:54:01
171,171,谍影重重3,8.9,470321,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/,保罗·格林格拉斯 Paul Greengrass,2007,2026-03-09 17:54:01
172,172,电锯惊魂,8.7,612158,真相就在眼前。,https://movie.douban.com/subject/1417598/,詹姆斯·温 James Wan,2004,2026-03-09 17:54:01
173,173,末路狂花,9.0,345333,,https://movie.douban.com/subject/1291992/,雷德利·斯科特 Ridley Scott,1991,2026-03-09 17:54:01
174,174,高山下的花环,9.5,157971,,https://movie.douban.com/subject/1422283/,谢晋 Jin Xie,1984,2026-03-09 17:54:01
175,175,无间道2,8.8,566081,,https://movie.douban.com/subject/1307106/,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,2003,2026-03-09 17:54:01
176,176,达拉斯买家俱乐部,8.8,505386,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/,让-马克·瓦雷 Jean-Marc Vallée,2013,2026-03-09 17:54:01
177,177,疯狂原始人,8.7,920361,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,2026-03-09 17:54:01
178,178,绿里奇迹,8.9,387713,,https://movie.douban.com/subject/1300374/,弗兰克·德拉邦特 Frank Darabont,1999,2026-03-09 17:54:01
179,179,爱在午夜降临前,8.9,472622,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/,理查德·林克莱特 Richard Linklater,2013,2026-03-09 17:54:01
180,180,疯狂的石头,8.6,924964,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/,宁浩 Hao Ning,2006,2026-03-09 17:54:01
181,181,雨中曲,9.1,268231,,https://movie.douban.com/subject/1293460/,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,2026-03-09 17:54:01
182,182,2001太空漫游,8.9,395719,,https://movie.douban.com/subject/1292226/,斯坦利·库布里克 Stanley Kubrick,1968,2026-03-09 17:54:01
183,183,海街日记,8.8,520337,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/,是枝裕和 Hirokazu Koreeda,2015,2026-03-09 17:54:01
184,184,风之谷,8.9,393289,,https://movie.douban.com/subject/1291585/,宫崎骏 Hayao Miyazaki,1984,2026-03-09 17:54:01
185,185,上帝之城,9.0,333118,,https://movie.douban.com/subject/1292208/,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp,2002,2026-03-09 17:54:01
186,186,心迷宫,8.7,616658,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/,忻钰坤 Yukun Xin,2014,2026-03-09 17:54:01
187,187,英雄本色,8.6,605608,,https://movie.douban.com/subject/1297574/,吴宇森 John Woo,1986,2026-03-09 17:54:01
188,188,记忆碎片,8.7,668259,,https://movie.douban.com/subject/1304447/,克里斯托弗·诺兰 Christopher Nolan,2000,2026-03-09 17:54:01
189,189,纵横四海,8.8,473223,,https://movie.douban.com/subject/1295409/,吴宇森 John Woo,1991,2026-03-09 17:54:01
190,190,无敌破坏王,8.7,611539,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/,瑞奇·莫尔 Rich Moore,2012,2026-03-09 17:54:01
191,191,卢旺达饭店,8.9,366811,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/,特瑞·乔治 Terry George,2004,2026-03-09 17:54:01
192,192,东京教父,9.0,290678,,https://movie.douban.com/subject/1310177/,今敏 Satoshi Kon,2003,2026-03-09 17:54:01
193,193,小偷家族,8.7,894622,我们组成了家。,https://movie.douban.com/subject/27622447/,是枝裕和 Hirokazu Koreeda,2018,2026-03-09 17:54:01
194,194,牯岭街少年杀人事件,8.9,368479,,https://movie.douban.com/subject/1292329/,杨德昌 Edward Yang,1991,2026-03-09 17:54:01
195,195,恐怖游轮,8.5,988628,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/,克里斯托弗·史密斯 Christopher Smith,2009,2026-03-09 17:54:01
196,196,冰川时代,8.7,685385,,https://movie.douban.com/subject/1291578/,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,2026-03-09 17:54:01
197,197,魔女宅急便,8.7,523951,,https://movie.douban.com/subject/1307811/,宫崎骏 Hayao Miyazaki,1989,2026-03-09 17:54:01
198,198,芙蓉镇,9.3,189450,,https://movie.douban.com/subject/1297880/,谢晋 Jin Xie,1987,2026-03-09 17:54:01
199,199,忠犬八公物语,9.2,218461,,https://movie.douban.com/subject/1959195/,神山征二郎 Seijirô Kôyama,1987,2026-03-09 17:54:01
200,200,岁月神偷,8.7,612411,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/,罗启锐 Alex Law,2010,2026-03-09 17:54:01
201,201,荒蛮故事,8.7,517132,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/,达米安·斯兹弗隆 Damián Szifron,2014,2026-03-09 17:54:01
202,202,遗愿清单,8.7,537728,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/,罗伯·莱纳 Rob Reiner,2007,2026-03-09 17:54:01
203,203,大佛普拉斯,8.7,553260,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/,黄信尧 Hsin-yao Huang,2017,2026-03-09 17:54:01
204,204,源代码,8.6,924941,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/,邓肯·琼斯 Duncan Jones,2011,2026-03-09 17:54:01
205,205,花束般的恋爱,8.6,825593,,https://movie.douban.com/subject/34874432/,土井裕泰 Nobuhiro Doi,2021,2026-03-09 17:54:01
